Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
Chamundipura,2023.0,8.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",13.0003,77.4993,-1
Chamundipura,2023.0,10.0,,THEFT,13.0003,77.5018,-1
Chamundipura,2023.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0011,77.5018,-1
Chandrappa Road,2018.0,4.0,,MISSING PERSON,12.9942,77.5272,-1
Channnahalli,2021.0,2.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1843,77.6538,-1
Chikkajala,2024.0,1.0,,CHEATING,13.1825,77.5897,-1
Chokkasandra,2018.0,3.0,,KARNATAKA POLICE ACT 1963,13.0397,77.503,-1
Chokkasandra,2023.0,6.0,,MOLESTATION,13.0276,77.5068,-1
Chokkasandra,2021.0,7.0,,KARNATAKA POLICE ACT 1963,13.0311,77.5065,-1
Cholurpalya,2022.0,10.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9748,77.5485,-1
Cholurpalya,2022.0,8.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9755,77.5535,-1
Cholurpalya,2018.0,6.0,,INSULTING MODESTY OF WOMEN (EVE TEASING),12.9696,77.5522,-1
Cholurpalya,2019.0,2.0,,THEFT,12.9696,77.5522,-1
Church Street and Sriramanagari,2019.0,4.0,,CRUELTY BY HUSBAND,12.9683,77.6503,-1
Church Street and Sriramanagari,2017.0,4.0,,CHEATING,12.9705,77.6559,-1
Cottonpet,2018.0,8.0,,NEGLIGENT ACT,12.9636,77.5679,-1
Cottonpet,2017.0,12.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.9611,77.5607,-1
Cubbon Park,2020.0,4.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9732,77.5952,-1
D GROUP LAY OUT,2017.0,10.0,,CHEATING,12.9751,77.4946,-1
D GROUP LAY OUT,2018.0,1.0,,DACOITY,12.9718,77.4996,-1
DABASPETE,2023.0,6.0,,MISCHIEF,12.9937,77.5933,-1
DASANAPURA,2020.0,10.0,,MISSING PERSON,13.0527,77.4214,-1
DASANAPURA,2021.0,8.0,,MISSING PERSON,13.0526,77.4221,-1
DASANAPURA,2020.0,3.0,,BURGLARY - NIGHT,13.0522,77.42,-1
DASANAPURA,2020.0,12.0,,POCSO,13.0651,77.4423,-1
DASAPPA HOSPITAL ROAD,2020.0,10.0,,FORGERY,12.9647,77.5813,-1
DASAPPA METERNITY HOSPITAL,2023.0,10.0,,PUBLIC SAFETY,12.963,77.5836,-1
DEVARABISANA HALLI,2022.0,6.0,,CASES OF HURT,12.9545,77.7027,-1
DEVARABISANA HALLI,2023.0,12.0,,MISSING PERSON,12.9276,77.6726,-1
DEVASANDRA MAIN ROAD,2018.0,7.0,,THEFT,13.0104,77.7034,-1
DEVASANDRA MAIN ROAD,2017.0,9.0,,CRIMES RELATED TO WOMEN,13.0078,77.6936,-1
DEVASANDRA MAIN ROAD,2023.0,8.0,,THEFT,13.0037,77.7077,-1
DHOBIGAT,2020.0,8.0,,THEFT,12.9511,77.5553,-1
DINNUR,2024.0,1.0,,CYBER CRIME,12.9945,77.7289,-1
DNR LAYOUT,2018.0,8.0,,CASES OF HURT,13.001,77.5789,-1
DNR LAYOUT,2024.0,2.0,,THEFT,12.9993,77.5781,-1
DODANNA LAYOUT,2023.0,10.0,,CASES OF HURT,13.0108,77.6144,-1
DODDA THOGURU M M SCHOOL ROAD,2023.0,11.0,,MISSING PERSON,12.84,77.6632,-1
DODDABANAHALLY,2020.0,6.0,,CRIMES RELATED TO WOMEN,12.9961,77.7489,-1
DODDABETTAHALLI,2023.0,12.0,,CASES OF HURT,13.0918,77.5527,-1
DODDAGOWDANAPALYA,2021.0,3.0,,THEFT,12.9768,77.5753,-1
DODDAMAVALLI,2022.0,7.0,,THEFT,12.9566,77.5826,-1
DODDANAKKUNDI,2022.0,8.0,,THEFT,12.9595,77.7033,0
DODDANAKKUNDI,2024.0,2.0,,CYBER CRIME,12.9585,77.7021,0
DODDANAKKUNDI,2023.0,10.0,,CYBER CRIME,12.9952,77.6742,0
DODDANAKKUNDI,2023.0,11.0,,THEFT,12.9598,77.7135,0
DODDANAKKUNDI,2023.0,4.0,,MISSING PERSON,12.9555,77.6941,0
DODDANAKKUNDI,2023.0,9.0,,THEFT,12.9781,77.7003,0
DOMMASANDRA,2020.0,5.0,,BURGLARY - NIGHT,12.8258,77.7633,-1
DOMMASANDRA,2021.0,12.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8848,77.7464,-1
DOMMASANDRA,2021.0,2.0,,THEFT,12.8801,77.7649,-1
DOMMASANDRA,2019.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8796,77.7536,-1
DUGGALAMMA LAYOUT,2023.0,5.0,,KARNATAKA POLICE ACT 1963,13.0126,77.5118,-1
DWARAKA NAGARA TO VENKATAPPA LAYOUT MORI,2023.0,4.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9344,77.5367,-1
Deconson Road,2023.0,12.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.982,77.6249,-1
Deepanjali Nagar,2022.0,7.0,,THEFT,12.9527,77.5371,-1
Dhobighat,2020.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9784,77.6188,-1
Dodda Banasawadi,2023.0,9.0,,CHEATING,13.0191,77.6465,-1
Doddabommasandra,2016.0,12.0,,THEFT,13.0701,77.5576,-1
Doddabommasandra,2016.0,7.0,,CHEATING,13.065,77.5596,-1
Doddan Layout,2023.0,11.0,,CYBER CRIME,12.9985,77.4961,-1
Domlur Village,2019.0,7.0,,THEFT,12.9627,77.6366,-1
EIGHTY FEET ROAD HANUMANTH NAGAR,2023.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9446,77.5645,-1
ELECTRONIC CITY,2023.0,11.0,,CRIMINAL INTIMIDATION,12.8542,77.6561,-1
ERAMMA GARDEN,2020.0,9.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9491,77.6051,-1
ERAMMA GARDEN,2023.0,9.0,,KARNATAKA POLICE ACT 1963,12.9496,77.6164,-1
ERAMMA GARDEN,2023.0,2.0,,CRUELTY BY HUSBAND,12.9562,77.6267,-1
ESHWARI NAGARA,2023.0,6.0,,CHEATING,12.9326,77.5449,-1
EWS SECTOR,2023.0,11.0,,MISSING PERSON,12.8898,77.5733,-1
Eighth Block Jayanagar,2024.0,1.0,,KIDNAPPING AND ABDUCTION,12.9149,77.5747,-1
Eighth Block Jayanagar,2023.0,10.0,,CYBER CRIME,12.9725,77.5489,-1
Eighth Block Jayanagar,2019.0,4.0,,ATTEMPT TO MURDER,12.9344,77.5927,-1
Ejipura,2016.0,11.0,,THEFT,12.9439,77.6298,0
Ejipura,2017.0,12.0,,ATTEMPT TO MURDER,12.9402,77.6307,0
Ejipura,2022.0,3.0,,MISSING PERSON,12.9515,77.625,0
Ejipura,2020.0,9.0,,PUBLIC SAFETY,12.9486,77.6276,0
Ejipura,2020.0,5.0,,MISSING PERSON,12.948,77.6275,0
Electronic City Main Gate,2020.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8421,77.6754,-1
FOURTH BLOCK,2023.0,9.0,,CHEATING,12.985,77.5578,-1
FOURTH BLOCK,2017.0,8.0,,CHEATING,12.985,77.5578,-1
FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK,2017.0,10.0,,THEFT,12.9766,77.5161,-1
FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK,2017.0,11.0,,THEFT,12.9588,77.5147,-1
FRAZER TOWN,2024.0,3.0,,MISSING PERSON,12.9978,77.6217,-1
Fifth Block Jayanagar,2016.0,11.0,,THEFT,12.9552,77.62,-1
Fifth Block Jayanagar,2021.0,12.0,,CHEATING,12.9348,77.5876,-1
First Main Road K.P.Agrahara,2022.0,5.0,,THEFT,12.9696,77.5522,-1
First Main Road K.P.Agrahara,2016.0,10.0,,MISSING PERSON,12.969,77.5593,-1
First circle,2019.0,2.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2005,77.6992,-1
First circle,2017.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1982,77.6801,-1
Flower Garden,2023.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9426,77.5256,-1
Fourth T Block Jayanagar,2017.0,8.0,,THEFT,12.925,77.5882,-1
Fourth T Block Jayanagar,2021.0,3.0,,ROBBERY,12.9277,77.5882,-1
Fourth T Block Jayanagar,2020.0,3.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9188,77.5895,-1
Friends Colony,2017.0,11.0,,CrPC,12.9381,77.6329,-1
Friends Colony,2017.0,11.0,,POCSO,12.9345,77.6312,-1
G D PARK EXTN,2018.0,12.0,,THEFT,13.0063,77.5749,-1
G D PARK EXTN,2019.0,8.0,,PUBLIC SAFETY,13.006,77.5785,-1
GANGANAGAR,2018.0,5.0,,MISSING PERSON,13.0205,77.5945,0
GANGANAGAR,2022.0,4.0,,CASES OF HURT,13.0205,77.5999,0
GANGANAGAR,2020.0,12.0,,DACOITY,13.0241,77.5861,0
GANGANAGAR,2020.0,2.0,,PUBLIC SAFETY,13.0205,77.5945,0
GANGANAGAR,2019.0,8.0,,BURGLARY - NIGHT,13.0205,77.5945,0
GANGONDANAHALLI,2020.0,12.0,,CHEATING,13.0017,77.4725,-1
GANGONDANAHALLI,2024.0,1.0,,COPY RIGHT ACT 1957,13.02,77.4682,-1
GANGONDANAHALLI,2020.0,3.0,,CHEATING,13.0056,77.4701,-1
GARDEN VILLAS,2024.0,1.0,,CYBER CRIME,12.9689,77.5248,-1
GAYATHRI GATE,2017.0,3.0,,PUBLIC SAFETY,13.0101,77.5838,-1
GAYATHRINAGAR,2017.0,4.0,,THEFT,12.9976,77.5626,-1
GAYATHRINAGAR,2023.0,12.0,,MOLESTATION,13.0012,77.5582,-1
GEM PLAZA SAFINA FLAZA ANDREW'S CHURCH,2024.0,2.0,,CHEATING,12.982,77.6013,-1
GIRINAGAR,2022.0,12.0,,THEFT,12.9359,77.5509,-1
GOKULA,2019.0,5.0,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0397,77.5556,-1
GOTTIGERE,2021.0,4.0,,THEFT,12.8564,77.5888,-1
GOTTIGERE,2018.0,6.0,,THEFT,12.8552,77.5857,-1
GUNJUR BALAGERE GUNJUROALYA,2022.0,10.0,,CASES OF HURT,12.9217,77.7336,-1
GUNJUR BALAGERE GUNJUROALYA,2023.0,10.0,,CHEATING,12.9226,77.7368,-1
GUNJUR BALAGERE GUNJUROALYA,2023.0,11.0,,THEFT,12.9388,77.6975,-1
GUNJUR BALAGERE GUNJUROALYA,2016.0,9.0,,MISSING PERSON,12.9206,77.7341,-1
GURAPPANA PALYA,2016.0,4.0,,BURGLARY - NIGHT,12.9166,77.6071,-1
GURAPPANA PALYA,2021.0,6.0,,ANIMAL,12.9034,77.6072,-1
GURAPPANA PALYA,2016.0,12.0,,BURGLARY - NIGHT,12.9195,77.6035,-1
Gandhinagara,2023.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1013,77.5397,-1
Garudacharapalya,2023.0,11.0,,CYBER CRIME,12.9887,77.7005,-1
Garvebhavipalya,2024.0,2.0,,CYBER CRIME,12.8298,77.634,-1
Girinagar,2016.0,,,2 wheeler theft,12.8983412,77.5867776,0
Girinagar,2016.0,,,2 wheeler theft,12.8843862,77.5612567,0
Girinagar,2019.0,,,2 wheeler theft,12.895621,77.659851,0
Girinagar,2015.0,,,2 wheeler theft,12.8953297,77.5789612,0
Girinagar,2016.0,,,2 wheeler theft,12.9087798,77.5718047,0
Goodshed Road,2023.0,8.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9807,77.5687,-1
Goraguntepalya Circle,2022.0,5.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0238,77.5396,-1
Govindapura,2024.0,2.0,,KIDNAPPING AND ABDUCTION,13.0339,77.6197,-1
Govindapura,2023.0,9.0,,DOWRY DEATHS,13.0308,77.6169,-1
Govindarajanagar,2023.0,10.0,,CYBER CRIME,12.9777,77.5351,-1
Gowthampur,2017.0,2.0,,THEFT,12.9697,77.6307,-1
Gowthampur,2017.0,4.0,,THEFT,12.9657,77.6261,-1
Gubbalalla,2023.0,6.0,,PUBLIC SAFETY,12.8795,77.5444,-1
Gubbalalla,2023.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8598,77.526,-1
Gupta Layout,2021.0,9.0,,CRIMINAL INTIMIDATION,12.9309,77.5776,-1
H.I.G COLONY,2018.0,1.0,,MISSING PERSON,13.0418,77.5697,-1
H.I.G COLONY,2022.0,9.0,,THEFT,13.04,77.56,-1
HALENAHALLI,2020.0,12.0,,KARNATAKA POLICE ACT 1963,13.1689,77.4469,-1
HAMEEDKHAN GARDEN,2017.0,10.0,,CASES OF HURT,12.9578,77.5801,-1
HAMEEDKHAN GARDEN,2022.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9595,77.5806,-1
HANUMATHAPURA,2023.0,6.0,,CASES OF HURT,12.9906,77.5675,-1
HARAGADDE,2021.0,10.0,,KARNATAKA POLICE ACT 1963,12.7651,77.6563,-1
HARASHA LAYOUT,2022.0,6.0,,THEFT,12.9178,77.4845,-1
HBR LAYOUT,2024.0,2.0,,KARNATAKA POLICE ACT 1963,13.0167,77.6217,-1
HBR Layout,2023.0,12.0,,ROBBERY,13.0347,77.6416,-1
HEASRGHATTA MAIN ROAD,2019.0,7.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0926,77.4905,-1
HEASRGHATTA MAIN ROAD,2023.0,12.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1006,77.5275,-1
HEELALIGE,2022.0,3.0,,MISSING PERSON,12.7516,77.6899,-1
HEELALIGE,2022.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7888,77.7047,-1
HEGGADADEVANAPURA,2022.0,8.0,,MISSING PERSON,13.1294,77.4557,-1
HEGGADADEVANAPURA,2022.0,7.0,,CRIMES RELATED TO WOMEN,13.0872,77.4654,-1
HEGGANAHALLI,2017.0,5.0,,NEGLIGENT ACT,13.0099,77.5062,0
HEGGANAHALLI,2022.0,8.0,,POCSO,13.0018,77.4992,0
HEGGANAHALLI,2017.0,6.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0189,77.5098,0
HEGGANAHALLI,2023.0,5.0,,CASES OF HURT,13.0018,77.4992,0
HEGGANAHALLI,2016.0,8.0,,PUBLIC SAFETY,13.0051,77.5269,0
HEGGANAHALLI,2022.0,10.0,,CRIMES RELATED TO WOMEN,13.0028,77.4982,0
HEGGANAHALLI,2016.0,2.0,,CYBER CRIME,13.0159,77.5114,0
HESARAGHATTA,2023.0,12.0,,MISSING PERSON,13.1152,77.4853,-1
HESARUGHATTA,2024.0,1.0,,Karnataka State Local Act,13.082,77.7728,-1
HIGH GROUNDS,2024.0,2.0,,PUBLIC SAFETY,12.986,77.5896,-1
HMT COLONY,2018.0,7.0,,CASES OF HURT,13.0467,77.5347,-1
HMT FACTORY.,2018.0,5.0,,CrPC,13.0536,77.5322,-1
HOODI ROAD,2018.0,7.0,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0169,77.718,0
HOODI ROAD,2020.0,11.0,,DACOITY,13.0104,77.7028,0
HOODI ROAD,2017.0,1.0,,THEFT,13.0034,77.6984,0
HOODI ROAD,2018.0,6.0,,THEFT,13.0104,77.7034,0
HOODI ROAD,2018.0,7.0,,THEFT,13.0015,77.7032,0
HOPE FORM TPL WHITEFIELD MAIN ROAD,2021.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9839,77.7524,-1
HOSA ROAD,2023.0,10.0,,CASES OF HURT,12.8908,77.6734,-1
HOSA ROAD JUNCTION,2021.0,8.0,,CASES OF HURT,12.8787,77.637,-1
HOSAKOTE TOWN,2021.0,3.0,,CRIMINAL BREACH OF TRUST,13.0374,77.4752,-1
HOSAPALYA,2022.0,10.0,,THEFT,12.9036,77.6314,-1
HSR Layout,2021.0,4.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9151,77.6444,-1
HSR Layout,2024.0,1.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.912,77.6518,-1
HULIMAVU GATE,2021.0,9.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.877,77.6029,-1
HULIMAVU GATE,2021.0,12.0,,THEFT,12.8772,77.6028,-1
HULIMAVU GATE,2021.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8856,77.6114,-1
HULIMAVU GATE,2023.0,12.0,,MISSING PERSON,12.8798,77.6123,-1
Hanumantha Nagar,2019.0,,,2 wheeler theft,12.93377,77.57457,-1
Hanumantha Nagar,2019.0,,,2 wheeler theft,12.92444,77.57102,-1
Hanumantha Nagar,2018.0,,,2 wheeler theft,12.917888,77.555785,-1
Hanumantha Nagar,2016.0,,,2 wheeler theft,12.9327402,77.589576,-1
Havanru Badavane,2018.0,2.0,,KIDNAPPING AND ABDUCTION,13.0418,77.4858,-1
Havanru Badavane,2018.0,8.0,,THEFT,13.025,77.4812,-1
Hebbala Fly over,2022.0,4.0,,PUBLIC SAFETY,13.0575,77.5936,-1
Hebbala village,2023.0,11.0,,THEFT,13.0383,77.5897,-1
Hebbala village,2023.0,11.0,,KIDNAPPING AND ABDUCTION,13.0356,77.596,-1
Hebbala village,2024.0,1.0,,THEFT,13.0398,77.5897,-1
Hennur Bande.,2019.0,7.0,,MISSING PERSON,13.0246,77.6479,-1
Herohalli,2023.0,12.0,,THEFT,12.9868,77.4914,-1
Hongasandra,2021.0,5.0,,MISSING PERSON,12.8948,77.6283,-1
Hosaguddahalli Junction,2021.0,3.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.9537,77.5429,-1
Hosaguddahalli Junction,2021.0,1.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.95,77.521,-1
Hosaguddahalli Junction,2023.0,10.0,,PUBLIC SAFETY,12.9565,77.5473,-1
Hosakerehalli,2019.0,11.0,,CRIMES RELATED TO WOMEN,12.939,77.5465,-1
IBRAHIM SAHEB STREET,2021.0,8.0,,THEFT,12.9813,77.6103,-1
ICICI Bank Circle,2017.0,1.0,,SUICIDE,12.9329,77.5839,-1
ICICI Bank Circle,2016.0,11.0,,THEFT,12.9329,77.5839,-1
IGGALURU,2024.0,2.0,,MISSING PERSON,12.793,77.7049,0
IGGALURU,2020.0,4.0,,MISSING PERSON,12.7934,77.7101,0
IGGALURU,2019.0,6.0,,THEFT,12.7967,77.7098,0
IGGALURU,2023.0,8.0,,THEFT,12.8021,77.709,0
IGGALURU,2022.0,6.0,,THEFT,12.8024,77.7047,0
IGGALURU,2023.0,3.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.8926,77.7048,0
IGGALURU,2019.0,10.0,,MISSING PERSON,12.7868,77.7057,0
IGGALURU,2019.0,1.0,,THEFT,12.794,77.7092,0
IGGALURU,2019.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8043,77.7008,0
INDIRA COLONY,2017.0,4.0,,CRUELTY BY HUSBAND,12.9502,77.5272,0
INDIRA COLONY,2017.0,12.0,,MISSING PERSON,12.9532,77.5266,0
INDIRA COLONY,2023.0,4.0,,REPRESENTATION OF PEOPLE ACT 1951 & 1988,12.9572,77.5235,0
INDIRA COLONY,2024.0,2.0,,CYBER CRIME,12.9771,77.5413,0
INDIRA COLONY,2019.0,3.0,,THEFT,12.9569,77.5268,0
INDIRANAGAR,2023.0,11.0,,THEFT,12.9736,77.6345,-1
INDIRANAGAR,2023.0,12.0,,THEFT,12.9678,77.6413,-1
INDIRANGARA,2024.0,1.0,,NEGLIGENT ACT,12.9665,77.6431,-1
INDUSTRIAL AREA,2024.0,2.0,,CYBER CRIME,13.1001,77.5839,-1
ISRO LAYOUT,2022.0,12.0,,KIDNAPPING AND ABDUCTION,12.9032,77.5621,-1
ITI LAYOUT,2023.0,4.0,,THEFT,12.9435,77.4896,-1
ITTAMADU,2016.0,11.0,,THEFT,12.9238,77.5482,-1
ITTAMADU,2020.0,2.0,,THEFT,12.9242,77.5435,-1
Ibbalurr,2021.0,10.0,,MISSING PERSON,12.8885,77.673,-1
Ibbalurr,2023.0,2.0,,FORGERY,12.903,77.6622,-1
Ibbalurr,2017.0,10.0,,THEFT,12.9198,77.6663,-1
Industrial town,2023.0,11.0,,Karnataka State Local Act,12.9744,77.5504,-1
J C NAGAR,2017.0,9.0,,NEGLIGENT ACT,13.0013,77.5945,-1
J C NAGARA,2022.0,5.0,,MISSING PERSON,13.0006,77.5309,-1
J C ROAD,2023.0,10.0,,THEFT,12.9617,77.5848,-1
J P NAGARA,2024.0,2.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.9106,77.5834,-1
J P Nagar,2017.0,,,2 wheeler theft,12.89819504,77.56937533,0
J P Nagar,2017.0,,,2 wheeler theft,12.89829019,77.56920573,0
J P Nagar,2017.0,,,2 wheeler theft,12.90803328,77.5632487,0
J P Nagar,2016.0,,,2 wheeler theft,12.90452649,77.56615191,0
J P Nagar,2017.0,,,2 wheeler theft,12.8822193,77.5659682,0
J P Nagar,2018.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8778,77.6275,0
J P Nagar,2018.0,,,2 wheeler theft,12.889336,77.588762,0
J P Nagar,2016.0,,,2 wheeler theft,12.88298531,77.55735737,0
J P Nagar,2019.0,,,2 wheeler theft,12.8807444,77.57559,0
J.B.NAGARA,2023.0,11.0,,CYBER CRIME,12.9716,77.6526,-1
J.M ROAD,2022.0,10.0,,KARNATAKA POLICE ACT 1963,12.9656,77.5818,-1
J.M ROAD,2021.0,12.0,,CHEATING,12.9669,77.583,-1
JAIMARUTHI NAGARA,2024.0,2.0,,CASES OF HURT,13.0119,77.5309,0
JAIMARUTHI NAGARA,2022.0,2.0,,CYBER CRIME,13.0116,77.5321,0
JAIMARUTHI NAGARA,2023.0,5.0,,THEFT,13.009,77.53,0
JAIMARUTHI NAGARA,2017.0,12.0,,CrPC,13.0088,77.5329,0
JAIMARUTHI NAGARA,2024.0,1.0,,CYBER CRIME,13.0112,77.5351,0
JAKKASANDRA,2023.0,10.0,,BURGLARY - NIGHT,12.9281,77.6341,-1
JAKKASANDRA BLOCK,2023.0,10.0,,CRIMINAL INTIMIDATION,12.9287,77.6293,-1
JARAGANAHALLI BUS STAND,2017.0,6.0,,PUBLIC SAFETY,12.8826,77.558,-1
JARAGANAHALLI BUS STAND,2017.0,6.0,,NEGLIGENT ACT,12.9142,77.5467,-1
JAYAMAHAL,2022.0,2.0,,BURGLARY - NIGHT,12.9986,77.6013,-1
JAYANAGAR,2020.0,4.0,,MISSING PERSON,12.9235,77.5869,-1
JAYANAGAR,2016.0,11.0,,MURDER,12.9304,77.5498,-1
JAYANAGAR,2018.0,5.0,,THEFT,12.9299,77.5844,-1
JAYANAGAR,2020.0,10.0,,THEFT,12.9244,77.5836,-1
JAYANAGAR NINTH BLOCK,2023.0,12.0,,THEFT,12.9181,77.5906,-1
JAYANAGARA,2019.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9264,77.5811,-1
JAYANTHI GRAMA,2023.0,12.0,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0352,77.6844,-1
JAYANTHI NAGAR,2023.0,12.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9569,77.7,-1
JAYARAM COLONY,2022.0,12.0,,THEFT,13.0224,77.5622,-1
